,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
209,"Y Conde, A Pollien, A Mortense",35,2006,[PDF] epfl.ch,Scripta materialia,"Y Conde, A Pollien, A Mortensen - Scripta materialia, 2006 - Elsevier","… positions x, for h = 20 mm, t = 1 mm and considering a 6061 Al alloy open-pore foam … take C as
unity and ϕ, the fraction of solid which is contained in the cell edges, as … In conclusion, analysis
of a simple metal foam core metal skin sandwich beam in bending shows that, where …",Functional grading of metal foam cores for yield-limited lightweight sandwich beams,Scripta materialia,Y Conde
210,"AR Kennedy, S Asavavisitcha",94,2004,No,Scripta Materialia,"AR Kennedy, S Asavavisitchai - Scripta Materialia, 2004 - Elsevier","… pure Al foams do not show the typical well-defined plateau stress that is often observed in metal
foams but the … 6. (a) Ten percent proof stress and (b) energy absorbed as a function of foam density
for pure Al and … (1) is a relationship proven to hold well for open cell foams [6], the …","Effects of TiB2 particle addition on the expansion, structure and mechanical properties of PM Al foams",Scripta Materialia,AR Kennedy
211,"W Wang, R Burgueño, JW Hong, I Le",23,2013,No,Materials Science and …,"W Wang, R Burgueño, JW Hong, I Lee - Materials Science and …, 2013 - Elsevier","… A blowing agent (eg,TiH 2 ) is added afterwards to facilitate direct foaming of the metal [11], [12] …
The presented investigation aimed at demonstrating the hypothesis that a stiff nano-structured
metal coating on an open-cell foam would lead to enhanced energy absorption …",Nano-deposition on 3-D open-cell aluminum foam materials for improved energy absorption capacity,Materials Science and …,W Wang
212,"A Antenucci, S Guarino, V Tagliaferri, N Ucciardell",24,2014,[HTML] sciencedirect.com,Materials & design,"A Antenucci, S Guarino, V Tagliaferri, N Ucciardello - Materials & design, 2014 - Elsevier","… and sintering process [13,15], replication process [1,13], melt-gas injection, melt-foaming agent,
casting … With this process, a polymeric open-cell foam of convenient porosity is covered with a
slurry (ceramic … the polymer melts leaving a void that can be filled with a metal, in this …",[HTML][HTML] Improvement of the mechanical and thermal characteristics of open cell aluminum foams by the electrodeposition of Cu,Materials & design,A Antenucci
213,"PR Onck, R Van Merkerk",26,2004,No,Advanced …,"PR Onck, R Van Merkerk… - Advanced …, 2004 - Wiley Online Library","… processing (see also[2,3]). For a successful imple- mentation of metal foams and the … reliability
assessment, mechanism-based models are needed that relate the cell-wall microstructure …
observations of the fracture behavior of small samples of Duocel open-cell foam, in addition …",Fracture of Metal Foams: In‐situ Testing and Numerical Modeling,Advanced …,PR Onck
214,"M Nazari, M Ashouri, MH Kayhani, A Tamayo",55,2015,[PDF] researchgate.net,International Journal of …,"M Nazari, M Ashouri, MH Kayhani, A Tamayol - International Journal of …, 2015 - Elsevier","… Hutter et al. [4] characterized the heat transfer in tubular reactors filled with commercial metal
foams, over a wide range of Reynolds numbers … 4. Conclusion. Open cell porous media
(metal foam) has been widely used in many industrial applications …",Experimental study of convective heat transfer of a nanofluid through a pipe filled with metal foam,International Journal of …,M Nazari
215,MA ,47,2008,[PDF] researchgate.net,adek,"MA El-Hadek, S Kaytbay - … Journal of Mechanics and Materials in Design, 2008 - Springer","… The overwhelming majority of metal foams in the market are therefore closed-cell.
For functional applications, such as sound absorption, thermal insulation, heat
dissipation and catalyst support, the cells need to be open and small …",Mechanical and physical characterization of copper foam,,
216,E Cruz Rui,10,2004,No,200,E Cruz Ruiz - 2004 - dire.uprm.edu,"High porosity metal foams are excellent candidates for high heat dissipation. They are employed in aerospace applications mainly, but their use has been widened to include cooling in Electronic Packaging. Other important applications have been found taking",Modelling of heat transfer in open cell metal foams,,
217,"P Quadbeck, K Kümmel, R Hauser",11,2010,[PDF] fraunhofer.de,Proceedings of the …,"P Quadbeck, K Kümmel, R Hauser… - Proceedings of the …, 2010 - ifam.fraunhofer.de",High porosity permeable materials have been manufactured on the basis of the highly uniform structure of foamed polyurethane since the early 60 th. Open cell ceramic foams on the basis of a replication method for foundry filtration have been used. Such replication,[PDF][PDF] Open cell metal foams-application-oriented structure and material selection,Proceedings of the …,P Quadbeck
218,"A Inayat, M Klumpp, M Lämmermann, H Freund",39,2016,No,Chemical Engineering …,"A Inayat, M Klumpp, M Lämmermann, H Freund… - Chemical Engineering …, 2016 - Elsevier","… surface area, high mechanical strength, excellent thermal conductivity (eg metal and SiC … work
to develop a general pressure drop correlation for open-cell foams completely based … the pressure
drop prediction solely based on easily measurable geometric foam properties and …",Development of a new pressure drop correlation for open-cell foams based completely on theoretical grounds: Taking into account strut shape and geometric …,Chemical Engineering …,A Inayat
219,"AJ Fuller, T Kim, HP Hodson",55,2005,[PDF] psu.edu,Proceedings of the …,"AJ Fuller, T Kim, HP Hodson… - Proceedings of the …, 2005 - journals.sagepub.com","… 3 MODELLING THE FOAM STRUCTURE The thermal and hydraulic behaviour of open-cell metal
foams is governed by such features of the foam structure as the ligament and pore diameters. The
FeCrAlY foams have hollow ligaments owing to the sintering process …",Measurement and interpretation of the heat transfer coefficients of metal foams,Proceedings of the …,AJ Fuller
220,"S Mancin, C Zilio, A Cavallini, L Rossett",89,2010,No,International Journal of Heat and …,"S Mancin, C Zilio, A Cavallini, L Rossetto - International Journal of Heat and …, 2010 - Elsevier","… different rigid, open cell, aluminum metal foams, when electrically heated and cooled by air flowing
through. It follows a paper by present authors relative to experimental measures and theoretical
modelling of pressure drop during air flow in foams [1]. The metal foam consists in …",Heat transfer during air flow in aluminum foams,International Journal of Heat and …,S Mancin
221,"E Amsterdam, H van Hoorn",28,2008,No,Advanced …,"E Amsterdam, H van Hoorn… - Advanced …, 2008 - Wiley Online Library","… There are numerous processes for the fabrication of open- and closed cell metal foams and some
of … In fact, X-ray tomography can be used to measure a large number of cells with high
precision.[10,11,12] From the measured aspect ratio in the cell shape the anisotro- py in …",The influence of cell shape anisotropy on the tensile behavior of open cell aluminum foam,Advanced …,E Amsterdam
222,"JL Yu, X Wang, ZG Wei, EH Wan",94,2003,[PDF] researchgate.net,International Journal of Impact …,"JL Yu, X Wang, ZG Wei, EH Wang - International Journal of Impact …, 2003 - Elsevier","… 13] reported that an open cell magnesium foam AZ91, an open cell aluminum foam … Paul and
Ramamurty [14] investigated the strain-rate sensitivity of a closed cell aluminum foam under
nominal strain rates from … Metal foams are frequently used in the form of foam core structures …",Deformation and failure mechanism of dynamically loaded sandwich beams with aluminum-foam core,International Journal of Impact …,JL Yu
223,"PJ Tan, JJ Harrigan, SR Rei",124,2002,No,Materials science and technology,"PJ Tan, JJ Harrigan, SR Reid - Materials science and technology, 2002 - Taylor & Franci","… Contribution to `Metal matrix composites VIII' (MMC VIII) held at the Institute of Materials in London
on … r qs cr =r ys ~0:090(q o =q s)3=2 : : : : : 9) for a large cell foam … to the crushing strengths of the
specimens.9 Again, this is consistent with the behaviour of open cell foams …",Inertia effects in uniaxial dynamic compression of a closed cell aluminium alloy foam,Materials science and technology,PJ Tan
224,"A Montebelli, CG Visconti, G Groppi, E Tronconi",35,2014,No,Applied Catalysis A …,"A Montebelli, CG Visconti, G Groppi, E Tronconi… - Applied Catalysis A …, 2014 - Elsevier","… activity testing was not to demonstrate the good heat transfer properties of the metal foam (to
be … likely due to the long-chain polymeric structure of Tylose, acting as “foaming” agent … 4. Optical
microscope images of 45 PPI, ɛ = 0.936 open-cell copper foam sample (a) bare sample …",Washcoating and chemical testing of a commercial Cu/ZnO/Al2O3 catalyst for the methanol synthesis over copper open-cell foams,Applied Catalysis A …,A Montebelli
225,"JR González, F Nacimiento, R Alcántara, GF Ortiz",28,2013,[PDF] academia.edu,…,"JR González, F Nacimiento, R Alcántara, GF Ortiz… - …, 2013 - pubs.rsc.org","… Fig. 9 Electrochemical behaviour for Co–Sn (35 mA cm −2 –5 min)/Ni electrode in sodium test
cell. (A) Potential–capacity plot for the first two cycles. (B) Areal capacity as a function of cycle
number … The use of open-type metal foams as substrates for the electrodeposition of …",Electrodeposited CoSn 2 on nickel open-cell foam: advancing towards high power lithium ion and sodium ion batteries,,JR González
226,"G Hetsroni, M Gurevich, R Rozenbli",35,2008,[PDF] technion.ac.il,Experimental Thermal and Fluid …,"G Hetsroni, M Gurevich, R Rozenblit - Experimental Thermal and Fluid …, 2008 - Elsevier","… Experiments were performed with a wide variety of aluminum metal foams. Results indicate that
for foam–air combinations, the transport enhancing effect of thermal dispersion at forced
convection is extremely low due to the … [9] considered open-cell metal foam as cooling media …",Natural convection in metal foam strips with internal heat generation,Experimental Thermal and Fluid …,G Hetsroni
